StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,consent,IH_1,IH_2,IH_3,IH_4,IH_5,IH_6,IH_7,IH_8,IH_9,IH_10,IH_11,IH_12,IH_13,IH_14,IH_15,IH_C1,IH_C2,Q204_First Click,Q204_Last Click,Q204_Page Submit,Q204_Click Count,O_1,Q210,Q212,Q214,Q216,Q205_First Click,Q205_Last Click,Q205_Page Submit,Q205_Click Count,O_2,Q198,Q200,Q202,Q204,Q208_First Click,Q208_Last Click,Q208_Page Submit,Q208_Click Count,O_3,Q186,Q188,Q190,Q192,Q209_First Click,Q209_Last Click,Q209_Page Submit,Q209_Click Count,O_4,Q175,Q177,Q179,Q180,Q206_First Click,Q206_Last Click,Q206_Page Submit,Q206_Click Count,O_5,Q163,Q165,Q167,Q169,Q207_First Click,Q207_Last Click,Q207_Page Submit,Q207_Click Count,O_6,Q151,Q153,Q155,Q157,gender,gender_3_TEXT,age,education,income,religion,religion_14_TEXT,race,race_11_TEXT,conservatism,English,debrief_1,debrief_2,debrief_3,debrief_4,attn,SC3,SC5,randomCode
12/10/2018 12:49,12/10/2018 13:05,IP Address,100,960,TRUE,12/10/2018 13:05,R_3HNUhmQfXNhJyeU,anonymous,EN,I agree,Agree strongly 9,7,6,Neither agree nor disagree 5,Agree strongly 9,8,7,Agree strongly 9,8,Agree strongly 9,Agree strongly 9,8,7,Agree strongly 9,Agree strongly 9,3,7,4.018,84.29,84.899,14,7,Yes,I think pizza is popular and profitable because it's convenient. Many people feel that they don't have time to cook.,10-20 years,I eat pizza once a month at most.,1.683,74.909,75.144,17,5,No,"Tickets to go see a game live are expensive, and it's far more convenient to watch it any other way.",20-30 years,I don't watch football at all.,3.037,133.658,134.434,22,"
	Really good

	9
",Yes,Riding a bike doesn't allow for moving much else but yourself. Many people run errands or do other things after work; you can't do much grocery shopping if your riding a bike home. A bike is also much slower and the range is significantly less. ,20-30 years,"I drive every day, I don't own a bike and there is no public transportation in my city. ",2.819,107.152,107.434,18,5,No,Devices capable of watching videos have become smaller and far cheaper then they were in the past. ,10-20 years,I watch TV for 3-5 hours a week.,10.763,119.427,132.443,22,"Definitely yes

 9",Yes,The cost of electronics and internet service has decreased significantly over time. Learning how to use the internet is also largely a work requirement now. ,10-20 years,I use email and search on a daily basis. ,4.067,58.237,59.017,21,5,No,Many people want a cup of coffee but don't want or need to make a whole pot of it. ,20-30 years,I drink several cups of coffee every day. ,Male,,30,Some college,"$10,000 to $15,000",Roman Catholic,,White/European American,,Strongly  conservative 9,Native (learned from birth),No,I think the study was gathering opinions on consumption habits. ,No,,Yes,119,1,80747
12/10/2018 12:26,12/10/2018 13:06,IP Address,100,2408,TRUE,12/10/2018 13:06,R_54lMOFn6IKljmgN,anonymous,EN,I agree,Neither agree nor disagree 5,Neither agree nor disagree 5,Neither agree nor disagree 5,Neither agree nor disagree 5,Neither agree nor disagree 5,Neither agree nor disagree 5,Neither agree nor disagree 5,Neither agree nor disagree 5,Neither agree nor disagree 5,Neither agree nor disagree 5,Neither agree nor disagree 5,Neither agree nor disagree 5,Neither agree nor disagree 5,Neither agree nor disagree 5,Neither agree nor disagree 5,3,7,6.651,90.26,151.483,4,"
5",Yes,"Not great, they're a bit expensive unless you go with crappy pizza.",10-20 years,I eat quite a bit of pizza: lately I've been making my own pizzas,2.898,280.815,306.108,3,5,Yes,They are expensive,40 or more years,I don't watch football,36.489,107.021,107.975,7,5,Yes,"Public transportation takes more time, and isn't as accessible to non-urban areas.",40 or more years,I drive where I need to go.,329.843,360.7,367.97,5,5,Yes,"The decreasing costs of technology, and the expansion of smart devices.",30-40 years,Barely watch TV,20.233,44.82,58.4,5,"Definitely yes

 9",Yes,Increasing use of smart devices and computers,10-20 years,Use them all the time,127.032,133.667,149.385,4,5,Yes,Fast and tastes better,30-40 years,don't drink it,Male,,26,High school/GED,"$15,000 to $25,000",Agnostic,,White/European American,,Moderate 5,Native (learned from birth),No,Not sure,No,"Thanks
",Yes,75,1,106672
12/10/2018 12:41,12/10/2018 13:08,IP Address,100,1636,TRUE,12/10/2018 13:08,R_3KwI3HX9OZLW9Os,anonymous,EN,I agree,8,7,7,6,8,7,7,6,7,6,7,8,7,7,7,3,7,11.634,282.601,284.509,12,"
Definitely yes

 9",Yes,16.13 is a current price.,30-40 years,Selecting a good one. sometime purchase it.,34.573,133.972,211.186,6,5,No,Because Others are busy in their work and some of them are not interested.,40 or more years,Watch in TV or Mobile.,60.401,158.15,181.643,7,6,Yes,Because most of the people want to rise in their status.,10-20 years,I  drive car.,76.037,219.294,221.337,6,"
Definitely yes

 9",Yes,It is essential for our developing country.,40 or more years,"News,Movies,",35.877,109.394,111.534,5,"Definitely yes

 9",Yes,It is essential for all.,30-40 years,"Facebook, Twitter,",18.256,123.135,125.671,5,8,Yes,It give freshness the whole day.,10- 20 years,Cappuccino,Male,,34,"Bachelor's (B.A., B.S.)","$50,000 to $65,000",Roman Catholic,,Black/African American,,8,Native (learned from birth),none,We are studying about mass media and our daily use.,no,none,Yes,105,1,826967
12/10/2018 12:47,12/10/2018 13:10,IP Address,100,1345,TRUE,12/10/2018 13:10,R_TpFHthUFkQoSRUJ,anonymous,EN,I agree,8,7,7,Disagree strongly 1,Disagree strongly 1,Disagree strongly 1,Disagree strongly 1,7,7,8,Disagree strongly 1,Agree strongly 9,4,6,7,3,7,46.28,123.998,125.849,6,7,Yes,Pizza is mainstream now. Growing up pizza was not an item you treated as fast food. It is now ,30-40 years,we eat pizza at least once a week ,36.929,120.846,139.267,7,5,No,It is the prohibitive cost of the games ,30-40 years,I stopped watching football because I disagree with the social movements of the players,88.925,150.254,151.515,6,5,Yes,Americcan are lazy ,40 or more years,I drive everywhere and do not access to public transportation where my home is . Live in rural area,31.385,118.79,120.631,6,8,Yes,Technology advances and the reduction of pricing ,30-40 years,We watch most netflixs and regular tv about 6 hours a week ,51.814,166.476,168.181,8,5,Yes,It is the mobile smart phone use and peole have immediate access to ll their accounts ,10-20 years,I use my emaiul multiple times a day for work and personal.. I use search engines less than once a day ,160.011,260.182,261.233,9,5,Yes,MArketing of the single servings and the custom flavors. Plus it is in vogue ,20-30 years,Not often once ot twice every few months ,Male,,50,Some college,"$50,000 to $65,000",Protestant,,White/European American,,8,Native (learned from birth),all was good ,not sure?,Im sure there was but not sure what ,,Yes,75,1,470348
12/10/2018 12:48,12/10/2018 13:10,IP Address,100,1310,TRUE,12/10/2018 13:10,R_ZDGRxlLSUxTb0uB,anonymous,EN,I agree,7,6,3,6,8,6,8,Agree strongly 9,8,8,3,Agree strongly 9,3,7,7,3,7,35.283,63.808,64.463,5,3,Yes,"I think that it's easy, cheap and generally more nutritious than fast food.",20-30 years,I eat pizza about once a month,182.444,243.83,244.729,7,7,Yes,"Probably the cost of the tickets, and the hassle of going to the stadium isn't worth the trouble when they can sit in the comfort of their home and watch it.",20-30 years,I watch it if my husband has it on the TV.,52.576,89.322,90.069,8,3,Yes,I would say probably the distance between where they live and where they work,30-40 years,I drive everyday whether to work or personal errands,74.821,87.611,101.058,5,"
Definitely no

 1",Yes,"I would say weather, interest and lack of other activites to do",10-20 years,I watch about 2 hours of TV a day.,35.844,72.002,72.719,6,8,Yes,"I think the accessibility of the internet, it's everywhere and on almost everything we use now.",20-30 years,I use email and the internet everyday both for work and personal,11.227,19.997,44.018,5,5,Yes,I would say the fact that it's easy and less wasteful than brewing a full pot,10- 20 years,I don't drink coffee.,Female,,32,Some college,"Over $100,000",Agnostic,,White/European American,,4,Native (learned from birth),No,To see people's opinions on research?,No,No,Yes,98,1,214538
12/10/2018 13:00,12/10/2018 13:14,IP Address,100,839,TRUE,12/10/2018 13:14,R_3qEAVBEH9BJpGte,anonymous,EN,I agree,Agree strongly 9,Agree strongly 9,7,Agree strongly 9,Agree strongly 9,7,6,7,7,6,4,7,Agree strongly 9,Agree strongly 9,Agree strongly 9,3,7,10.496,59.923,66.394,5,"
5",Yes,good,10-20 years,none,8.072,68.75,70.972,5,7,Yes,better football,20-30 years,tv,30.966,117.407,133.846,8,7,Yes,lot better save money,10-20 years,good,19.835,91.452,92.993,7,6,Yes,more people,10-20 years,good,7.563,84.046,85.729,6,7,Yes,more people,10-20 years,good,4.633,33.894,35.05,5,6,Yes,good,10- 20 years,none,Male,,71,High school/GED,"$25,000 to $35,000",Protestant,,White/European American,,2,Native (learned from birth),no,people learing,no,no,Yes,114,1,633236
12/10/2018 13:10,12/10/2018 13:15,IP Address,100,327,TRUE,12/10/2018 13:15,R_1hHbkAxebzr21Zy,anonymous,EN,I agree,6,6,Neither agree nor disagree 5,Neither agree nor disagree 5,8,Neither agree nor disagree 5,7,6,6,6,6,6,Neither agree nor disagree 5,7,Neither agree nor disagree 5,3,7,5.914,30.449,39.255,6,"
Definitely yes

 9",Yes,Prices of the ingredients. ,20-30 years,I eat it at least once a week.,18.128,40.182,41.277,6,6,Yes,Stadium prices,30-40 years,I watch it weekly.,5.127,28.295,38.181,6,5,No,Work may be too far away for them.,20-30 years,I use my car to drive everywhere.,3.785,22.05,22.954,6,4,Yes,Easier access to watch things.,30-40 years,I watch it nightly,4.797,22.447,23.455,5,5,Yes,More people using the internet.,20-30 years,I use both daily.,17.387,43.941,44.819,5,6,Yes,Price and demand,20-30 years,I drink it 4-7 days a week. I really enjoy it.,Male,,29,Some college,"$25,000 to $35,000",Agnostic,,White/European American,,Moderate 5,Native (learned from birth),n/a,not sure,n/a,n/a,Yes,89,1,660783
12/10/2018 13:08,12/10/2018 13:20,IP Address,100,702,TRUE,12/10/2018 13:20,R_DOHqPUTAA5UJVBf,anonymous,EN,I agree,8,Agree strongly 9,4,Disagree strongly 1,3,4,3,8,Neither agree nor disagree 5,Agree strongly 9,Agree strongly 9,Neither agree nor disagree 5,3,7,7,3,7,31.429,59.073,60.274,5,"
5",Yes,How much demand there is-- how much Americans eat.,20-30 years,I don't eat pizza at all.,23.828,57.468,58.549,6,5,Yes,"It's easier to stay home and watch a game on a device than it is to go to a game, and it's cheaper.",20-30 years,I don't watch football or go to games.,39.681,77.281,93.976,5,4,Yes,People are out of shape and the weather is different everywhere.,10-20 years,I usually drive by myself or with one other person.,16.593,44.376,60.015,5,5,Yes,Technology is growing and there are more things to choose from. It's more accessible.,20-30 years,"I watch a ton of TV, but usually on an actual TV as opposed to a phone or laptop.",16.091,38.867,67.011,6,"Definitely yes

 9",Yes,Email is easier to use than regular mail and technology is increasing.,10-20 years,I rarely use regular mail and use email daily. I use the internet daily to search for everything.,11.4,34.633,35.843,4,5,Yes,It's easier to use.,10- 20 years,I don't drink coffee.,Female,,45,"Master's (M.A., M.S.)","$65,000 to $80,000",Jewish,,White/European American,,Strongly liberal 1,Native (learned from birth),no,not sure,"probably, but I don't know what.",no,Yes,85,1,445047
12/10/2018 13:11,12/10/2018 13:21,IP Address,100,542,TRUE,12/10/2018 13:21,R_1mmwVVxRmyLr86C,anonymous,EN,I agree,6,7,6,Neither agree nor disagree 5,Neither agree nor disagree 5,2,6,6,7,Neither agree nor disagree 5,Disagree strongly 1,6,Disagree strongly 1,8,Disagree strongly 1,3,7,5.572,32.52,33.335,5,"
5",Yes,Demand,10-20 years,We eat pizza once a week,6.593,34.913,35.502,5,5,Yes,Price of tickets or travel,20-30 years,I don't watch football at all,13.581,102.036,108.382,5,5,Yes,People prefer to drive,10-20 years,"I drive everywhere. Whether it's to get to town for shopping, working or church.",6.42,26.261,33.894,5,5,Yes,Ease and convenience,20-30 years,We watch an hour or two of tv most days.,18.863,57.458,58.297,8,5,Yes,Ease of communication,10-20 years,"I rarely use email, but I used search often.",38.587,81.627,82.723,6,5,Yes,People think it is convenient,10- 20 years,I drink coffee all day every day,Female,,37,Some college,"$50,000 to $65,000",Protestant,,White/European American,,Strongly  conservative 9,Native (learned from birth),no,perceptions,no,no,Yes,72,1,413046
12/10/2018 13:14,12/10/2018 13:23,IP Address,100,485,TRUE,12/10/2018 13:23,R_qO9yzxmKVaIPfVL,anonymous,EN,I agree,6,7,Disagree strongly 1,3,7,3,Disagree strongly 1,3,Neither agree nor disagree 5,7,6,6,2,4,4,3,7,7.71,32.362,32.966,6,3,No,What the market will sustain,10-20 years,rarely,26.991,61.274,62.996,6,4,Yes,"ticket prices, gas prices, etc.",30-40 years,Very sporadic.,13.078,42.879,55.853,5,4,Yes,"infrastructure, not living in a city/urban area, dangerous roads",20-30 years,I drive daily because I live in a rural area with very few options for public transportation,8.981,81.963,83.759,10,7,Yes,increasing technology has made this more affordable for everyone,40 or more years,"about 2 shows any season, like some shows are only on in the fall. some are year round. some are online streaming.",4.807,32.377,33.753,6,"Definitely yes

 9",Yes,affordability / accessibility,20-30 years,"daily, multiple times a day",5.42,33.676,35.269,7,5,Yes,affordability and flexibility in choice,20-30 years,i do not drink coffee,Female,,36,Some college,"$15,000 to $25,000",Muslim,,White/European American,,2,Native (learned from birth),no,unsure,no,,Yes,65,1,112381
12/10/2018 13:12,12/10/2018 13:27,IP Address,100,912,TRUE,12/10/2018 13:27,R_0MWBh3TE0eyCCHL,anonymous,EN,I agree,6,Neither agree nor disagree 5,Neither agree nor disagree 5,Neither agree nor disagree 5,3,3,3,4,7,6,Neither agree nor disagree 5,7,3,4,Neither agree nor disagree 5,3,7,18.386,24.322,37.367,3,"
5",Yes,popularity,10-20 years,i love pizza and eat it a few times per month,12.36,43.871,62.727,6,5,Yes,"distance from teams, price of tickets, hassle",20-30 years,i watch mostly college football,18.921,19.901,40.542,2,2,Yes,distance is not feasible,40 or more years,i work from home and drive as infrequently as possible,73.492,75.501,91.72,3,3,Yes,technology changes and price drops,30-40 years,i don't watch it much,48.059,49.142,60.412,2,7,Yes,convenience,10-20 years,i use it all the time for work and personal use.,397.765,419.681,445.049,5,5,Yes,quick and easy,30-40 years,"i drink 4 or 5 cups per day either from a drip pot or manually prepared (pour over, french press, etc)",Male,,27,"Bachelor's (B.A., B.S.)","$65,000 to $80,000",Agnostic,,White/European American,,2,Native (learned from birth),no,not really sure,probably,none,Yes,71,1,780061
12/10/2018 13:20,12/10/2018 13:30,IP Address,100,568,TRUE,12/10/2018 13:30,R_2sclZU12Fo13g8G,anonymous,EN,I agree,8,6,Neither agree nor disagree 5,2,Neither agree nor disagree 5,4,2,7,6,Agree strongly 9,2,4,2,Neither agree nor disagree 5,6,3,7,4.029,47.201,47.861,33,"
Definitely yes

 9",Yes,Popularity,10-20 years,I usually get once a week,5.007,73.754,74.45,30,7,Yes,Too busy,10-20 years,I only watch superbowl ,2.206,69.196,69.915,31,4,Yes,Weather and distance,10-20 years,I drive everywhere ,2.305,48.947,49.452,23,7,Yes,Different shows and people who do more streaming,20-30 years,I watch tv everyday,2.535,61.161,61.701,26,"Definitely yes

 9",Yes,Its required now days,10-20 years,I use it everyday,2.681,58.839,59.486,24,"
	Really good

	9
",Yes,People like different coffees,10- 20 years,I drink decaf only every morning ,Female,,41,Some college,"$15,000 to $25,000",Agnostic,,White/European American,,Strongly liberal 1,Native (learned from birth),No,Im not sure,Yes ut I dont know what,No,Yes,73,1,393676
12/10/2018 13:06,12/10/2018 13:30,IP Address,100,1487,TRUE,12/10/2018 13:30,R_10N1iIIEODICl1P,anonymous,EN,I agree,Agree strongly 9,3,8,7,7,Agree strongly 9,Agree strongly 9,Agree strongly 9,Agree strongly 9,Agree strongly 9,Agree strongly 9,Agree strongly 9,Agree strongly 9,Agree strongly 9,7,3,7,11.812,163.159,204.962,11,"
Definitely yes

 9",Yes,I think current  prices of pizza is far. So everyone can buy it.,10-20 years,I eat pizza at the weekend not everyday.,7.564,150.45,151.297,8,7,Yes,Because all are started to watch live shows on TV or smart phones.,10-20 years,I don't like football that much.,168.534,365.435,366.465,8,7,No,It is really good o use bikes. It will reduce traffic.,10-20 years,I drive everyday. I love to take long drive.,4.847,116.688,117.121,9,"
Definitely yes

 9",Yes,It is really bad that there is so many devices available to watch TV.,10-20 years,I watch TV at night for few hours about 1.30 hours.,5.786,81.545,107.218,8,"Definitely yes

 9",Yes,Because of smart phones the internet usage is increasing every year and it won't stop.,10-20 years,Everyday I use my email for work related things.,7.411,93.58,108.824,9,7,Yes,It is slightly increasing every year.,10- 20 years,I drink coffee morning and evening.,Female,,40,Some college,"$35,000 to $50,000",Roman Catholic,,White/European American,,3,Native (learned from birth),No,About changes in people's life.,Nothing to say.,No comments.,Yes,122,1,434497
12/10/2018 12:34,12/10/2018 13:30,IP Address,100,3375,TRUE,12/10/2018 13:30,R_3MFeOiUej7PcgCz,anonymous,EN,I agree,7,7,8,7,8,8,3,2,8,8,6,6,Disagree strongly 1,3,8,3,7,26.464,67.017,67.862,5,8,Yes,It's popularity most of all. ,30-40 years,I usually eat a pizza every week. ,57.813,232.549,234.101,8,6,Yes,"Various factors could include inability to travel to location, difficulty purchasing tickets, commuting etc. ",20-30 years,"I tend to watch college and professional football. My favorite teams are Miami Dolphins, New England Patriots. ",9.095,61.556,68.564,8,7,Yes,"Because cars are more comfortable and protect you more from the elements like rain, snow, sun etc. Also long distances to commute may make more Americans prefer their cars to bikes. ",30-40 years,I drive to work every day myself. ,62.013,107.229,123.406,9,4,Yes,"The evolution of technology, and the adaptability of this technology to all the devices. ",30-40 years,I watch 3-4 hours of TV per week. ,18.139,96.287,97.053,8,6,Yes,"One factor clearly is the rise in population. As the population grows, so will the number of internet users. ",20-30 years,I use email for work mostly. Sometimes to keep in touch with a friend. The search function I tend to use more. ,26.848,65.661,67.272,6,7,Yes,It's convenient and time-saving. ,30-40 years,I drink at least 2-3 cups of coffee per day. ,Male,,42,"Bachelor's (B.A., B.S.)","$35,000 to $50,000",Atheist,,White/European American,,Moderate 5,Native (learned from birth),No.,Not sure.,I'm not sure. There were so many different articles and topics that were covered. ,Thank you. ,Yes,90,1,466302
12/10/2018 13:21,12/10/2018 13:34,IP Address,100,773,TRUE,12/10/2018 13:34,R_1pyBIRjyKOrA61p,anonymous,EN,I agree,8,7,6,2,4,6,6,2,7,7,7,3,Neither agree nor disagree 5,7,Neither agree nor disagree 5,3,7,0.931,95.565,96.208,7,7,Yes,Pizza is cheap to make and the competition among pizza places is huge. There are always tons of places to find pizza.,20-30 years,"I eat pizza once a week or once every two weeks. I really enjoy pizza as it's cheap, delicious, and plentiful in my area.",0.974,81.267,81.894,9,5,No,Going to games are pretty expensive and require a time commitment ahead of time. ,20-30 years,I don't watch football anymore as I find myself not having time to watch it.,0.977,96.386,97.1,16,2,Yes,"Distance, weather conditions, comfort, public infrastructures (lack of sidewalks/bike lanes) or just because a car is more convenient.",20-30 years,I drive everywhere I go. I don't have any place really within walking distance.,0.646,66.631,68.144,9,4,Yes,"The number of subscription services to watch on, such as Netflix, Hulu, or Amazon Video.",30-40 years,"I don't watch much TV at all. I watch at most 2 hours a week, if that. Sometimes I go weeks without watching anything at all.",0.984,88.878,89.479,9,8,Yes,"The ease of access to computers, the fact that computers are used everywhere for everything, and the affordability of computers.",30-40 years,I check my email daily and perform searches nearly every day when I want to know something or learn something new.,0.848,78.039,79.212,10,5,Yes,The convenience of having a cup in the morning to get the day going and energy levels up.,20-30 years,"I don't really drink coffee, at least not hot coffee. I much prefer cold or frozen coffee drinks and mochas.",Male,,30,Some college,"$15,000 to $25,000",Agnostic,,White/European American,,2,Native (learned from birth),No,People's choices,No,No,Yes,82,1,900153
12/10/2018 13:13,12/10/2018 13:35,IP Address,100,1324,TRUE,12/10/2018 13:35,R_1psreSE3sPDMLnY,anonymous,EN,I agree,8,8,6,Agree strongly 9,4,8,8,8,8,8,8,8,Agree strongly 9,8,8,3,7,9.834,107.1,162.353,11,8,Yes,The current of the pizza in the very account service of the pizza prices,40 or more years,very good habits,5.035,141.349,142.647,5,7,Yes,The thing of the very good account in the food ball game ,30-40 years,Very game of the very nice in football game,9.857,82.113,83.605,5,6,Yes,The driving in the account in the very few of the stage,30-40 years,very nice of the driving ,8.228,100.167,114.094,5,8,Yes,The very good in the people of watching videos in the number,30-40 years,Very good habits,3.461,57.946,92.263,5,5,Yes,The very useful of population of the internet users,40 or more years,The email in the very good search of the habits,15.335,112.223,133.783,10,8,Yes,The thing of the yes single cub brew development in the stage,10- 20 years,The very nice of the coffee habits,Female,,26,"Bachelor's (B.A., B.S.)","$15,000 to $25,000",Roman Catholic,,White/European American,,Strongly liberal 1,Native (learned from birth),no,Very nice,The thing in the very nice of the study,Very nice,Yes,116,1,291953
12/10/2018 13:09,12/10/2018 13:36,IP Address,100,1576,TRUE,12/10/2018 13:36,R_vl9CSNeVTyV2R4l,anonymous,EN,I agree,8,Neither agree nor disagree 5,Neither agree nor disagree 5,8,8,Agree strongly 9,Neither agree nor disagree 5,8,8,8,8,8,8,8,6,3,7,25.855,76.795,113.618,5,"
Definitely yes

 9",Yes,the cost of ingredients.,10-20 years,"I order pizza several times a month mostly because my kids love it, I have seen enough pizza in my life to never eat it again.",23.737,217.384,218.498,7,5,Yes,They like the experience that comes with being in the middle of the action. Also because they can afford to go to the live games.,40 or more years,I only watch the superbowl mostly but occasionally I watch with family just for the purpose of togetherness.,62.626,209.08,210.41,11,5,Yes,I think its convenient to drive and many people find it relaxing to drive to work. I think its about being in control of the commute. Listening to music and stopping for coffee or breakfast its all a part of a morning ritual that you dont get with taking the bus or a cab.,10-20 years,I use ridesharing like uber.  I havent driven much lately and don't take bus. ,31.292,242.246,243.432,5,"
Definitely yes

 9",Yes,"people are able to watch tv shows on many different platforms now. Years ago you either had to catch a show live or record it on vcr. Now you can watch it online, dvr the show, watch it streaming or binge watch episodes of shows on the tv, phone, tablet or laptop or even a gaming console. ",20-30 years,"I watch tv and keep it on in the background. I also like to watch it on my tablet. I have streaming apps like netflix, hulu, amazon prime video and watch shows on facebook watch also. Cant forget youtube.",36.515,195.323,197.063,8,"Definitely yes

 9",Yes,The internet is where we socialize and work and shop I dont think anyone can avoid using the internet for very long.,10-20 years,I live and work online. I dont think I could get by without the internet.,115.533,172.734,227.667,5,7,Yes,I think many people think its easier to make single cups and dont need a full pot of coffee especially on the way out in the morning.,10- 20 years,I think coffee in the mornings and tea in the afternoon. I have considered getting a kurig but thought it may be wasteful as far as the environmental aspect of it.,Female,,33,Some college,"$25,000 to $35,000",Agnostic,,Black/African American,,Strongly liberal 1,Native (learned from birth),no it was pretty straightforward ,opinions and reasoning ,yes I think there is more to it but I dont know what for sure.,no,Yes,110,1,470770
12/10/2018 13:37,12/10/2018 13:45,IP Address,100,455,TRUE,12/10/2018 13:45,R_yW3WlM5fvzB2wnL,anonymous,EN,I agree,7,Neither agree nor disagree 5,7,6,6,6,Neither agree nor disagree 5,7,8,6,7,6,Neither agree nor disagree 5,7,6,6,7,7.585,60.296,62.074,4,7,Yes,the price was expensive.,20-30 years,it is an easily ready food.i like it,9.21,39.728,41.146,5,7,No,this is was very interesting game.,20-30 years,it is an motivational game.,11.343,26.315,52.039,5,6,Yes,most of us using bikes.it was good happit.,20-30 years,to bad,8.819,43.275,44.69,4,6,Yes,most people must be avoid the tv,20-30 years,i am not like watch tv,20.622,38.631,50.002,5,6,Yes,this is good one.,20-30 years,natural,6.265,51.194,53.149,5,7,Yes,feel good,20-30 years,all coffee are my favorite.,Male,,51,"Bachelor's (B.A., B.S.)","$65,000 to $80,000",Roman Catholic,,White/European American,,7,Native (learned from birth),no,consumer opinion,no,good,Yes,94,0,617225
12/10/2018 13:32,12/10/2018 13:46,IP Address,100,862,TRUE,12/10/2018 13:46,R_3MtFQt0uaN4yniF,anonymous,EN,I agree,3,7,Disagree strongly 1,Neither agree nor disagree 5,8,6,6,6,7,8,4,8,Neither agree nor disagree 5,7,7,3,7,3.27,45.796,72.446,11,3,Yes,Market demand mixed with availability. Just general free market economics.,40 or more years,I eat pizza about 2 days a week on average.,2.566,78.296,79.191,9,5,Yes,It is expensive and one has to either travel or live in an area with a team.,40 or more years,"If it's on at the bar I will watch it, but make no effort to do so.",6.414,95.485,96.529,10,2,Yes,Some of it cultural. Many places riding a bike can be dangerous so that factors in. Some climates are also not conducive for riding.,40 or more years,I drive as little as possible.,5.954,92.236,126.597,8,4,Yes,People like to watch TV so the number of devices increases to match demand. Advances in technology also play a role.,40 or more years,"I generally watch at least some TV everyday, but usually less than an hour. Every once in a while I will binge watch a show if I find it especially enjoyable.",6.679,145.971,149.114,10,"Definitely yes

 9",Yes,As more people use the internet for things more people are forced to use the internet for things. There is likely a small increase due to increased availability as well.,20-30 years,I use email and search everyday.,7.586,52.558,80.139,11,5,Yes,It allows people to bring their own coffee in an office setting. At home people like that it is fresh and the coffee doesn't get stale.,40 or more years,I drink a great deal of coffee. 4-8 cups most days.,Male,,38,"Master's (M.A., M.S.)","$15,000 to $25,000",Atheist,,White/European American,,Strongly liberal 1,Native (learned from birth),No,How the answers to the questions related to things stated in the articles.,"Probably, but I have no idea what it would be.",No.,Yes,88,1,689935
12/10/2018 13:40,12/10/2018 13:48,IP Address,100,478,TRUE,12/10/2018 13:48,R_3kvrbn2O81tojbD,anonymous,EN,I agree,6,6,2,2,4,2,2,7,Neither agree nor disagree 5,Neither agree nor disagree 5,4,6,Neither agree nor disagree 5,7,6,3,7,1.203,70.642,71.731,15,"
	Definitely no

	1
",No,"The price of the ingredients is one thing, and also the marketing for the pizza brand. There isn't much left over because pizza is such a commodity these days.",40 or more years,I don't eat pizza.,1.103,73.545,74.976,9,5,No,I think that most people only watch games live which are really important to them personally.,20-30 years,I usually watch the Superbowl.,0.866,57.817,71.063,7,3,Yes,"It's much easier to take a car, and there is a ton of corporate marketing around car buying.",40 or more years,I try to walk whenever it's possible. Sometimes you just need to take a car.,6.367,40.956,62.605,9,3,No,"I think it's because many people are starting to get multiple devices, such as a computer, smartphone, and tablet.",30-40 years,"I only watch TV through streaming apps, and usually follow a few shows at a time.",2.583,42.474,43.022,9,5,Yes,I think it's because of the rising population of smartphone users.,20-30 years,"I try to limit internet and email whenever possible, because it can be a distraction for real work.",6.484,26.655,26.925,8,8,Yes,It's convenient and cheap to make.,40 or more years,I drink 4 cups of coffee each day with butter.,Male,,30,Some college,"Over $100,000",Buddhist,,White/European American,,Strongly liberal 1,Native (learned from birth),I did not.,I think you were studying how people process information.,I do not.,I do not.,Yes,69,1,632065
